Removed Pin From Net: NetName=GND Pin=J2-5
Removed Pin From Net: NetName=GND Pin=J2-S
Removed Pin From Net: NetName=GND Pin=J2-S
Removed Pin From Net: NetName=GND Pin=J2-S
Removed Pin From Net: NetName=GND Pin=J2-S
Removed Member From Class: ClassName=Sheet Member=R4
Removed Member From Class: ClassName=Sheet Member=SW2
Change Component Designator: OldDesignator=R4 NewDesignator=R?
Change Component Designator: OldDesignator=SW2 NewDesignator=SW?
Change component parameters: Designator = "Q1"; Footprint = "FP-S-03946-MFG"; UniqueID = "\ZEFSFRQZ"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Vishay"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "SI1308EDL-T1-GE3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Forward Diode Voltage"; Value = "1.2V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Junction Temp"; Value = "+150°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Description"; Value = "MOSFET 30V 1.5A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number Of Channels"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number Of N Channels"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart"; Value = "https://octopart.com/si1308edl-t1-ge3-vishay-45284459"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "S-03946"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Dissipation"; Value = "0.4W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pulse Drain Current"; Value = "6A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reverse Recovery Charge"; Value = "3nC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reverse Recovery Time"; Value = "8ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rthja Max"; Value = "250°C/W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "-55°C to +150°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range High"; Value = "+150°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Threshold Vgs Max"; Value = "1.5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Threshold Vgs Min"; Value = "0.6V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Transconductance"; Value = "5S"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Turn Off Delay Time"; Value = "8ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Turn On Delay Time"; Value = "2ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Typ Forward Diode Voltage"; Value = "0.8V"; VariantName = "[No Variations]"
Added Component: Designator=C?(CAP 0603_1608)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Applications"; Value = "Bypass, Decoupling"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "0.1µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.johansondielectrics.com/downloads/x2y-filter-and-decoupling-capacitors.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/johanson-dielectrics-inc/6R3X14W104MV4T/709-1009-1-ND/1556414"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Package"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "Low ESL (X2Y)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "21/01/2020 00:02:09"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Johanson Dielectrics Inc."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, MLCC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartId"; Value = "2650"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "6R3X14W104MV4T"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "0.10"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "X2Y®"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.064" L x 0.035" W (1.63mm x 0.89mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "709-1009-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness (Max)"; Value = "0.026" (0.66mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±20%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0.1µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Rated"; Value = "6.3V"; VariantName = "[No Variations]"
Added Component: Designator=C?(CAP 0603_1608)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Applications"; Value = "Bypass, Decoupling"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "0.1µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.johansondielectrics.com/downloads/x2y-filter-and-decoupling-capacitors.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/johanson-dielectrics-inc/6R3X14W104MV4T/709-1009-1-ND/1556414"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Package"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "Low ESL (X2Y)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "21/01/2020 00:02:09"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Johanson Dielectrics Inc."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, MLCC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartId"; Value = "2650"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "6R3X14W104MV4T"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "0.10"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "X2Y®"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.064" L x 0.035" W (1.63mm x 0.89mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "709-1009-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness (Max)"; Value = "0.026" (0.66mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±20%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0.1µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Rated"; Value = "6.3V"; VariantName = "[No Variations]"
Added Component: Designator=C?(CAP 0603_1608)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Applications"; Value = "Automotive, ESD Protection"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "10000pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://api.kemet.com/component-edge/download/datasheet/C0603C103K4RECAUTO.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/kemet/C0603C103K4RECAUTO/399-17880-1-ND/8640547"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Package"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "21/01/2020 00:02:00"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "KEMET"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, MLCC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartId"; Value = "8251"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "C0603C103K4RECAUTO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "0.02"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "AEC-Q200"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "ESD SMD Auto X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.063" L x 0.031" W (1.60mm x 0.80mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "399-17880-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness (Max)"; Value = "0.034" (0.87mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10000pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Rated"; Value = "16V"; VariantName = "[No Variations]"
Added Component: Designator=C?(CAP 0603_1608)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Applications"; Value = "General Purpose"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "4.7µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://datasheets.avx.com/LD-Series.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/avx-corporation/LD036D475KAB2A/478-7500-1-ND/3660464"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Package"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "21/01/2020 00:01:58"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "AVX Corporation"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, MLCC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartId"; Value = "9151"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "LD036D475KAB2A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "4.17"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "LD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.063" L x 0.032" W (1.60mm x 0.81mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "478-7500-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "X5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness (Max)"; Value = "0.035" (0.90mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "4.7µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Rated"; Value = "6.3V"; VariantName = "[No Variations]"
Added Component: Designator=L?(INDC0603X03L_C)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "2nd source part number"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "2nd source Supplier"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Artikkelnr Noca"; Value = "N.A."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Artikkelnr Simpro"; Value = "N.A."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Assembly"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Supplier link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Footprint Doc"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HelpURL"; Value = "http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=BKP0603HS121-T&fileName=BKP0603HS121-T_SS&mode=specSheetDownload"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "2016-08-23"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Taiyo Yuden"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "BKP0603HS121-T"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Note"; Value = "Chip EMIFIL Inductor Type Chip Ferrite Bead"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "FB0201-120R@100M-850mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part number IPS"; Value = "00000001252"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "2016-08-23"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Nordic Semiconductor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier part number"; Value = "587-3286-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "120R/0.85A"; VariantName = "[No Variations]"
Added Component: Designator=L?(INDC0603X03L_C)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "2nd source part number"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "2nd source Supplier"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Artikkelnr Noca"; Value = "N.A."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Artikkelnr Simpro"; Value = "N.A."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Assembly"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Supplier link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Footprint Doc"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HelpURL"; Value = "http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=BKP0603HS121-T&fileName=BKP0603HS121-T_SS&mode=specSheetDownload"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "2016-08-23"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Taiyo Yuden"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "BKP0603HS121-T"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Note"; Value = "Chip EMIFIL Inductor Type Chip Ferrite Bead"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "FB0201-120R@100M-850mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part number IPS"; Value = "00000001252"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "2016-08-23"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Nordic Semiconductor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier part number"; Value = "587-3286-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "120R/0.85A"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=C?-1
Added Pin To Net: NetName=GND Pin=C?-1
Added Pin To Net: NetName=GND Pin=C?-1
Added Pin To Net: NetName=GND Pin=C?-1
Added Pin To Net: NetName=VBUS Pin=C?-2
Added Pin To Net: NetName=VBUS Pin=C?-2
Added Pin To Net: NetName=VBUS Pin=C?-2
Added Pin To Net: NetName=VBUS Pin=L?-1
Added Pin To Net: NetName=GND Pin=L?-2
Added Pin To Net: NetName=D+ Pin=J2-3
Added Pin To Net: NetName=D+ Pin=U1-31
Added Net: Name=D+
Added Pin To Net: NetName=D- Pin=J2-2
Added Pin To Net: NetName=D- Pin=U1-29
Added Net: Name=D-
Added Pin To Net: NetName=NetJ2_5 Pin=J2-5
Added Pin To Net: NetName=NetJ2_5 Pin=J2-S
Added Pin To Net: NetName=NetJ2_5 Pin=J2-S
Added Pin To Net: NetName=NetJ2_5 Pin=J2-S
Added Pin To Net: NetName=NetJ2_5 Pin=J2-S
Added Pin To Net: NetName=NetJ2_5 Pin=L?-1
Added Net: Name=NetJ2_5
Added Pin To Net: NetName=VBUS_nRF Pin=C?-2
Added Pin To Net: NetName=VBUS_nRF Pin=L?-2
Added Net: Name=VBUS_nRF
Added Member To Class: ClassName=Sheet Member=Component C? 0.1µF
Added Member To Class: ClassName=Sheet Member=Component C? 0.1µF
Added Member To Class: ClassName=Sheet Member=Component C? 10000pF
Added Member To Class: ClassName=Sheet Member=Component C? 4.7µF
Added Member To Class: ClassName=Sheet Member=Component L? 120R/0.85A
Added Member To Class: ClassName=Sheet Member=Component L? 120R/0.85A
Added Member To Class: ClassName=Sheet1 Member=Component R? 0 Ohms
Added Member To Class: ClassName=Sheet1 Member=Component SW? PTS840 GK SMTR LFS
